"","X.2","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum","Height_diff","Width_diff","Length_diff","Weight_diff","Weight_delta","Height_delta","Width_delta","Length_delta","Volume_pre","Volume_post","Volume_delta","Volume_scale"
"24","2018_HIGH_POLY_HP3W36_CV","2018_HIGH_POLY_HP3W36_CV","Lab18",2018,"HIGH","POLY","HP3","W36",0,NA,"CV","HP3","W36","OLD",41.73,24.46,14.4,5.29,42.53,28.62,10.62,11.54,0,0,0,0,"CV","HIGH_POLY","HP3W36",-3.78,4.16,0.800000000000004,6.25,1.18147448015123,-0.2625,0.170073589533933,0.0191708602923557,14698.30752,12926.755332,-0.120527631197636,-0.827376364469476
"25","2018_HIGH_POLY_HP3W36_IR","2018_HIGH_POLY_HP3W36_IR","Lab18",2018,"HIGH","POLY","HP3","W36",0,NA,"IR","HP3","W36",NA,48.14,28.61,17.35,8.27,47.81,24.42,17.51,11.6,0,0,0,0,"IR","HIGH_POLY","HP3W36",0.16,-4.19,-0.329999999999998,3.33,0.402660217654172,0.00922190201729107,-0.146452289409297,-0.00685500623182381,23895.90169,20443.278702,-0.144485988969601,-0.858768106225039
"26","2018_HIGH_POLY_HP3W37_IR","2018_HIGH_POLY_HP3W37_IR","Lab18",2018,"HIGH","POLY","HP3","W37",0,NA,"IR","HP3","W37",NA,40.13,22.03,14.91,5.21,38.96,20.1,14.01,5.87,0,0,0,0,"IR","HIGH_POLY","HP3W37",-0.9,-1.93,-1.17,0.66,0.126679462571977,-0.0603621730382294,-0.0876078075351793,-0.0291552454522801,13181.392749,10971.17496,-0.167677105984698,-0.889154561060138
"27","2018_HIGH_POLY_HP3W4_IR","2018_HIGH_POLY_HP3W4_IR","Lab18",2018,"HIGH","POLY","HP3","W4",0,NA,"IR","HP3","W4",NA,42.48,24.21,16.07,6.96,41.06,21.32,15.21,8.75,0,0,0,0,"IR","HIGH_POLY","HP3W4",-0.859999999999999,-2.89,-1.41999999999999,1.79,0.257183908045977,-0.0535158680771624,-0.119372160264354,-0.0334274952919019,16527.043656,13314.821832,-0.194361550127196,-0.924118192014519
"28","2018_HIGH_POLY_HP3W40_IR","2018_HIGH_POLY_HP3W40_IR","Lab18",2018,"HIGH","POLY","HP3","W40",0,NA,"IR","HP3","W40",NA,38.24,22.52,13.01,5.64,38.37,21.34,13.91,2.49,0,0,0,0,"IR","HIGH_POLY","HP3W40",0.9,-1.18,0.129999999999995,-3.15,-0.558510638297872,0.0691775557263644,-0.0523978685612789,0.00339958158995804,11203.754048,11389.727778,0.0165992335429033,-0.647704152932422
"29","2018_HIGH_POLY_HP3W45_CV","2018_HIGH_POLY_HP3W45_CV","Lab18",2018,"HIGH","POLY","HP3","W45",1,NA,"CV","HP3","W45","OLD",34.78,19.84,9.3,3.22,34.99,22.44,10.33,6.31,0,0,0,1,"CV","HIGH_POLY","HP3W45",1.03,2.6,0.210000000000001,3.09,0.959627329192546,0.110752688172043,0.131048387096774,0.00603795284646351,6417.32736,8110.863948,0.263900607370605,-0.323674395263506
"30","2018_HIGH_POLY_HP3W61_CV","2018_HIGH_POLY_HP3W61_CV","Lab18",2018,"HIGH","POLY","HP3","W61",0,NA,"CV","HP3","W61","OLD",39.72,20.63,11.87,3.08,41.16,22.72,8.18,7.82,0,0,0,0,"CV","HIGH_POLY","HP3W61",-3.69,2.09,1.44,4.74,1.53896103896104,-0.310867733782645,0.101308773630635,0.0362537764350453,9726.558132,7649.569536,-0.213537879259343,-0.94924422016994
"31","2018_HIGH_POLY_HP3W9_IR","2018_HIGH_POLY_HP3W9_IR","Lab18",2018,"HIGH","POLY","HP3","W9",0,NA,"IR","HP3","W9",NA,40.49,27.29,15.87,8.21,49.67,24.59,20.99,16.5,0,0,0,0,"IR","HIGH_POLY","HP3W9",5.12,-2.7,9.18,8.29,1.00974421437272,0.322621298046629,-0.0989373396848662,0.226722647567301,17535.907227,25636.877447,0.461964705625664,-0.0641584016111081
"32","2018_HIGH_POLY_HP51_MB","2018_HIGH_POLY_HP51_MB","Lab18",2018,"HIGH","POLY","HP5","1",1,NA,"LP","HP5","1",NA,NA,NA,NA,NA,13.59,11.32,4.66,0.38,0,0,0,1,"LP","HIGH_POLY","HP51",NA,NA,NA,NA,NA,NA,NA,NA,NA,716.888808,NA,NA
"33","2018_HIGH_POLY_HP52_MM","2018_HIGH_POLY_HP52_MM","Lab18",2018,"HIGH","POLY","HP5","2",0,NA,"AM","HP5","2",NA,NA,NA,NA,NA,13.01,8.39,4.02,0.21,0,0,0,0,"AM","HIGH_POLY","HP52",NA,NA,NA,NA,NA,NA,NA,NA,NA,438.798678,NA,NA
