"","UniqueID","Experiment","Year","Site.x","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number.x","Species.x","RFTM_score.x","peacrabs.x","Date_pre","Site.y","Treatment","Color","Number.y","Species.y","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_date","RFTM_score.y","peacrabs.y","LiveMM","Treatment2","Colornumber"
"34","2017_NW_LOW_MONO_Y6_CV","Field17",2017,"NW","LOW","MONO","Y",6,"CV",2,0,"5/29/2017","NW","LL","Y","6","CV","22","18.1","6.3","1.27","69.2",42.12,"20.99",25.34,"9/25-10/2","2",NA,0,"LOW_MONO","Y6"
"35","2017_NW_LOW_POLY_B17_CV","Field17",2017,"NW","LOW","POLY","B",17,"CV",3,0,"5/30/2017","NW","LH","B","17","CV","18.25","20.04","6.15","1","58.04",38.04,"20.13",20.07,"9/25-10/2","3",NA,1,"LOW_POLY","B17"
"36","2017_NW_LOW_POLY_B6_CV","Field17",2017,"NW","LOW","POLY","B",6,"CV",2,0,"5/30/2017","NW","LH","B","6","CV","20","17.8","6.4","1.05","60.26",33.26,"24.19",25.48,"9/26-10/2","2",NA,1,"LOW_POLY","B6"
"37","2017_NW_LOW_POLY_P18_CV","Field17",2017,"NW","LOW","POLY","P",18,"CV",3,0,"5/30/2017","NW","LH","P","18","CV","21","18.7","5.2","1.05","63.74",46.96,"25.7",38.25,"9/29-10/5","3",NA,1,"LOW_POLY","P18"
"38","2017_NW_LOW_POLY_P5_CV","Field17",2017,"NW","LOW","POLY","P",5,"CV",4,0,"5/30/2017","NW","LH","P","5","CV","18","16.1","5.2","0.81","54.71",41.07,"18.48",24.02,"9/29-10/5","4",NA,1,"LOW_POLY","P5"
"39","2017_OY_HIGH_MONO_R1_CV","Field17",2017,"OY","HIGH","MONO","R",1,"CV",5,0,"5/30/2017","OY","HL","R","1","CV","20.1","18.6","5.4","0.93","49.75",31.21,"48.24",14.29,"9/20-9/29","5",NA,0,"HIGH_MONO","R1"
"40","2017_OY_HIGH_MONO_R11_CV","Field17",2017,"OY","HIGH","MONO","R",11,"CV",1,0,"5/30/2017","OY","HL","R","11","CV","18.75","16.75","5.5","0.89","51.1",40.65,"18.41",19.97,"9/20-9/29","1",NA,0,"HIGH_MONO","R11"
"41","2017_OY_HIGH_MONO_R12_CV","Field17",2017,"OY","HIGH","MONO","R",12,"CV",2,1,"5/30/2017","OY","HL","R","12","CV","23","15.1","7.45","0.89","43.97",39.04,"13.5",11.42,"9/20-9/29","2",1,0,"HIGH_MONO","R12"
"42","2017_OY_HIGH_MONO_Y11_CV","Field17",2017,"OY","HIGH","MONO","Y",11,"CV",3,0,"5/30/2017","OY","HL","Y","11","CV","25.45","17.4","7.2","1.54","71.02",43.77,"16.33",23.89,"9/20-9/27","3",NA,0,"HIGH_MONO","Y11"
"43","2017_OY_HIGH_MONO_Y13_CV","Field17",2017,"OY","HIGH","MONO","Y",13,"CV",1,0,"5/30/2017","OY","HL","Y","13","CV","21.4","17.6","5.5","0.97","45.15",35.04,"18.84",16.37,"9/20-9/27","1",NA,0,"HIGH_MONO","Y13"
"44","2017_OY_HIGH_MONO_Y15_CV","Field17",2017,"OY","HIGH","MONO","Y",15,"CV",0,0,"5/30/2017","OY","HL","Y","15","CV","24.2","17.3","7.2","1.41","63.12",44.79,"17.83",24.37,"9/20-9/27","0",NA,0,"HIGH_MONO","Y15"
"45","2017_OY_HIGH_MONO_Y17_CV","Field17",2017,"OY","HIGH","MONO","Y",17,"CV",0.5,0,"5/30/2017","OY","HL","Y","17","CV","22.7","14.8","6.4","0.85","52.54",37.96,"17.25",19.97,"9/20-9/27","0.5",NA,0,"HIGH_MONO","Y17"
"46","2017_OY_HIGH_MONO_Y3_CV","Field17",2017,"OY","HIGH","MONO","Y",3,"CV",0,0,"5/30/2017","OY","HL","Y","3","CV","23.4","19.25","6","1.27","45.98",41.95,"17.76",18.58,"9/20-9/27","0",NA,0,"HIGH_MONO","Y3"
